d1,d2,d3,d5,d11,d12,d13,d18,E,Smax(Mpa)
26.95871212,69.83712121,73.58931818,2.018106061,16.4375,105.1665909,6.313181818,3.917304971,56617.80292,96.13249446
32.46325758,74.31893939,78.04204545,1.917651515,16.3875,84.45431818,7.957727273,2.181373797,74832.69802,131.4579249
30.90416667,75.435,71.17977273,3.782954545,17.57916667,81.40431818,5.966818182,2.004739502,72677.29822,118.0819798
32.07613636,74.62651515,73.39204545,4.060681818,8.129166667,109.0761364,6.225909091,5.115392596,54497.73753,78.16065958
31.07916667,72.78984848,73.84295455,3.520984848,11.4875,108.5770455,7.938636364,2.645087456,55716.77513,150.8435583
33.01477273,74.09045455,72.81431818,2.92219697,15.4125,101.6175,8.039545455,2.321897408,75309.71274,122.2411792
33.13674242,69.57348485,71.34886364,1.809318182,13.87916667,87.61522727,7.161363636,5.125575338,70362.8935,45.75065112
29.39810606,78.15924242,81.80431818,2.384469697,17.34583333,93.57659091,5.481363636,3.300404661,58843.87158,82.62066713
32.8344697,70.24136364,71.99704545,1.998409091,10.00416667,99.84295455,6.817727273,4.411269079,75433.38322,69.29483464
31.86401515,78.81833333,78.28159091,3.8125,13.0875,88.8075,6.746818182,2.773522421,64338.37437,95.98077207
30.03977273,72.13954545,86.76431818,4.265530303,9.9125,106.1925,6.735909091,2.887410451,62430.31552,111.4082369
27.50492424,69.99530303,75.18159091,2.516439394,14.1625,96.51568182,7.436818182,1.954719582,59709.56494,176.6774749
33.0094697,73.79166667,74.18113636,4.232045455,12.87083333,92.57840909,7.014090909,3.539916878,64532.71369,75.68619661
33.30113636,77.37712121,80.31068182,2.691742424,14.10416667,85.64659091,7.725909091,4.350391623,58702.53388,53.94333599
28.00871212,72.49984848,70.65840909,2.364772727,15.7375,110.7120455,7.521363636,3.931977709,66935.45446,108.938636
26.55568182,80.74287879,83.94613636,4.198560606,14.42083333,81.62613636,7.914090909,5.607026494,64108.70062,54.96691255
32.80795455,73.54560606,73.3075,2.969469697,18.3375,105.6934091,6.632272727,6.537508978,55593.10465,45.02162242
32.27765152,72.64924242,86.72204545,3.966136364,8.595833333,90.77613636,5.759545455,2.00918508,56335.12754,153.1511312
30.13522727,74.53863636,84.81977273,2.3825,15.27083333,94.51931818,6.479545455,5.06330028,57766.17167,55.38056218
30.12992424,70.55772727,87.00386364,3.928712121,17.97916667,109.9911364,6.700454545,4.520186157,57801.50609,59.8099396
30.06098485,79.75863636,83.93204545,3.828257576,13.19583333,111.6270455,8.096818182,3.52349261,69744.5411,114.2479065
31.65719697,75.25045455,71.54613636,3.046287879,14.02083333,94.96295455,5.852272727,4.777234062,64674.05139,52.67816683
33.07840909,75.67227273,82.80477273,1.951136364,10.39583333,90.85931818,5.980454545,2.38672483,72942.30639,109.5954728
31.98068182,76.55106061,86.98977273,2.634621212,13.12083333,86.20113636,4.835,4.594202477,73595.99322,55.49560092
31.50340909,77.22772727,85.96113636,3.775075758,12.37083333,97.23659091,4.995909091,6.301828901,74991.70293,40.68441234
30.64962121,80.00469697,79.67659091,2.244621212,10.49583333,87.47659091,8.173181818,5.186124534,60592.92552,63.55918903
33.15265152,70.06560606,71.87022727,2.869015152,18.10416667,86.09022727,5.527727273,5.453176148,68666.84119,45.86592125
26.68825758,77.35954545,71.51795455,3.154621212,7.654166667,107.9115909,6.855909091,5.66124098,69850.54437,93.13468489
27.77537879,80.75166667,76.57659091,4.224166667,14.74583333,87.31022727,7.491363636,2.107455173,65822.42014,168.0206287
31.36022727,74.9780303,76.74568182,3.152651515,9.6125,97.84659091,7.946818182,5.221096749,75945.73235,60.82329265
27.61098485,75.03075758,77.81659091,4.285227273,9.995833333,108.8265909,8.047727273,5.296231557,66511.44139,78.54897969
29.91780303,76.37530303,80.42340909,3.398863636,15.2375,105.2775,6.215,4.322811244,73171.98014,74.16531618
26.72537879,77.5880303,83.5375,2.908409091,12.07916667,102.4770455,5.486818182,5.461338233,63843.69244,65.0445875
28.74583333,69.37136364,82.7625,2.417954545,12.62916667,102.3661364,5.871363636,6.242896155,59055.87811,52.22278962
31.29659091,73.09742424,80.52204545,2.648409091,10.0375,80.5725,5.271363636,3.651481604,70292.22466,76.18901358
26.69886364,74.95166667,78.33795455,4.230075758,12.34583333,95.71159091,4.750454545,2.144576468,53013.69177,175.3198975
28.11477273,73.74772727,80.16977273,3.022651515,14.1875,100.3697727,7.818636364,4.477744652,55805.11119,81.14165599
30.7875,75.79530303,77.68977273,4.208409091,9.270833333,108.0225,5.282272727,2.375771897,75574.72091,142.6445159
28.5125,75.83045455,83.21340909,2.514469697,13.4625,84.12159091,5.058636364,4.883681995,57960.511,59.57013993
27.30871212,71.43651515,87.60977273,3.53280303,13.39583333,114.3165909,5.658636364,4.219815042,66334.76927,75.67733065
30.44810606,79.205,69.4325,2.739015152,8.2125,100.0647727,7.417727273,6.025017796,53826.3835,65.80847882
31.34431818,77.39469697,73.49068182,2.201287879,9.204166667,92.60613636,7.905909091,4.677205682,68225.16091,86.15003537
33.23219697,72.80742424,83.0725,3.733712121,9.170833333,106.9688636,5.732272727,4.875070087,70327.55908,58.84511482
30.16704545,73.24681818,71.09522727,3.062045455,17.72083333,102.5879545,5.121363636,3.374502289,58349.18965,98.41995698
31.7844697,75.11863636,77.8025,2.997045455,10.84583333,98.37340909,8.200454545,1.820549567,63437.34658,175.82617
32.04431818,72.35045455,80.60659091,2.892651515,18.47916667,94.79659091,6.495909091,5.401075409,66246.43321,50.20305724
27.18143939,73.45772727,81.71977273,2.071287879,10.92916667,115.6475,7.753181818,3.339767328,64038.03177,122.5185761
32.54280303,70.16227273,83.63613636,3.6175,11.3375,88.53022727,6.204090909,4.659996076,54603.7408,56.77595693
32.44734848,77.16621212,87.08840909,2.20719697,14.80416667,81.09931818,7.098636364,3.789059717,64709.38581,63.16991444
29.81704545,74.91651515,83.2275,4.161136364,15.99583333,103.8079545,7.548636364,2.095991845,54162.06052,151.8046805
32.00719697,78.47560606,84.79159091,2.951742424,12.32083333,84.01068182,7.008636364,2.094241271,56317.46032,140.1729013
31.07386364,71.40136364,84.98886364,2.341136364,17.32916667,102.6711364,6.605,3.150594549,75380.38158,92.04959647
30.82992424,75.75136364,72.05340909,2.181590909,13.32083333,89.75022727,5.429545455,4.033168947,53049.02619,67.2383065
27.54734848,78.2119697,87.46886364,1.775833333,7.770833333,93.24386364,7.843181818,2.358756036,67695.14456,170.5717294
32.20340909,77.76378788,76.52022727,2.800075758,18.27916667,82.54113636,5.721363636,5.59623391,69585.53619,60.0936493
27.03825758,72.1219697,81.9875,3.426439394,10.82916667,85.59113636,5.156818182,4.287884517,75062.37177,69.48981475
28.36401515,75.19772727,80.97295455,3.578106061,15.7625,102.7543182,5.756818182,4.540444744,60398.58619,73.17206548
29.49886364,73.12378788,72.82840909,3.997651515,13.60416667,97.73568182,7.166818182,3.879797202,53155.02946,84.53583336
31.55643939,74.35409091,83.67840909,4.121742424,10.2875,80.32295455,4.723181818,4.640488729,63985.03013,55.53337661
27.45719697,75.95348485,73.88522727,1.988560606,8.2375,87.50431818,7.529545455,3.419629806,56299.79311,115.5103332
29.68977273,78.43166667,73.13840909,3.678560606,16.14583333,113.2629545,5.391363636,1.822120193,61387.95004,195.6536279
27.71704545,75.16257576,72.34931818,2.104772727,13.42083333,105.1388636,7.327727273,1.743268879,63667.02033,251.8967931
32.38371212,73.93227273,81.19840909,3.07780303,9.520833333,108.7711364,5.639545455,1.915108078,53932.38677,173.1060436
27.4094697,72.28893939,70.30613636,2.035833333,7.645833333,102.8097727,7.791363636,3.348304649,61776.62869,157.8013519
32.7125,74.565,84.45340909,2.475075758,18.3875,83.17886364,6.065,2.403553493,71475.92783,96.00934623
28.67159091,73.02712121,75.44931818,3.538712121,12.25416667,87.94795455,5.050454545,5.332582153,61635.291,59.26779911
27.95037879,72.20106061,71.32068182,3.259015152,9.5875,114.8988636,7.769545455,3.248872033,58066.51427,150.9408975
